property_type,address,city_state,floor,suite,use_type,size_sf,rent_per_sf,page_number
Retail,1 146 W 29th St,,GRND,Retail,Retail,1500,Withheld,1
Retail,1 146 W 29th St,,GRND,2,Retail,1919,$7.82,1
Retail,1 146 W 29th St,,,Retail,Retail,1500,$9.00,1
Retail,4 261 3rd Ave,,GRND,Corner,Retail,700,Withheld,6
Retail,4 261 3rd Ave,,GRND,-,Retail,1505,Withheld,6
Retail,4 261 3rd Ave,,GRND,117,Retail,1600,Withheld,6
Retail,4 261 3rd Ave,,GRND,-,Retail,1690,Withheld,6
Retail,5 139 E 23rd St,,GRND,-,Retail,1505,Withheld,7
Retail,5 139 E 23rd St,,GRND,117,Retail,1600,Withheld,7
Retail,5 139 E 23rd St,,GRND,-,Retail,1690,Withheld,7
Retail,5 139 E 23rd St,,GRND,-,Retail,1600,Withheld,7
Retail,7 11 Penn Pl,,GRND,-,Retail,1690,Withheld,10
Retail,7 11 Penn Pl,,GRND,-,Retail,1600,Withheld,10
Retail,7 11 Penn Pl,,GRND,-,Office/Retail,1665,$8.75,10
Retail,8 311 Second Ave,,GRND,-,Retail,1600,Withheld,11
Retail,8 311 Second Ave,,GRND,-,Office/Retail,1665,$8.75,11
Retail,9 146 W 4th St,,GRND,-,Office/Retail,1665,$8.75,13
Retail,9 146 W 4th St,,GRND,Upper,Retail,1520,$5.00,13
Retail,11 28 W 12th St,,GRND,Upper,Retail,1520,$5.00,17
Retail,11 28 W 12th St,,GRND,1W,Retail,1806,$8.31,17
Retail,11 28 W 12th St,,GRND,-,Retail,2000,$13.33,17
Retail,12 123 W 20th St,,GRND,1W,Retail,1806,$8.31,19
Retail,12 123 W 20th St,,GRND,-,Retail,2000,$13.33,19
Retail,12 123 W 20th St,,GRND,-,Retail,1000,$6.66,19
Retail,13 36 E 23rd St,,GRND,-,Retail,2000,$13.33,21
Retail,13 36 E 23rd St,,GRND,-,Retail,1000,$6.66,21
Retail,13 36 E 23rd St,,GRND,-,Retail,1400,$5.76,21
Retail,15 150 W 26th St,,GRND,-,Retail,1400,$5.76,24
Retail,15 150 W 26th St,,GRND,-,Retail,1800,$8.08,24
Retail,15 150 W 26th St,,,-,Retail,1050,$12.38,24
Retail,16 149 W 27th St,,GRND,-,Retail,1800,$8.08,26
Retail,16 149 W 27th St,,,-,Retail,1050,$12.38,26
Retail,16 149 W 27th St,,GRND,-,Office/Retail,1806,Withheld,26
Retail,16 149 W 27th St,,,Space,Retail,1335,Withheld,26
Retail,17 113 E 29th St,,,-,Retail,1050,$12.38,27
Retail,17 113 E 29th St,,GRND,-,Office/Retail,1806,Withheld,27
Retail,17 113 E 29th St,,,Space,Retail,1335,Withheld,27
Retail,17 113 E 29th St,,GRND,-,Retail,1700,$3.25,27
Retail,19 160 Bleecker St,,,Space,Retail,1335,Withheld,30
Retail,19 160 Bleecker St,,GRND,-,Retail,1700,$3.25,30
Retail,19 160 Bleecker St,,,-,Retail,1500,$10.50,30
